LINK	STREET	ANODE	BNODE	LENGTH	type	lanes_ab	speed_ab	cap_ab	lanes_ba	speed_ba	cap_ba	use
439076	улица Адмирала Юмашева	3062	13682	159.632514269	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
439077	улица Адмирала Юмашева	13682	13879	463.070636015	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
439078	улица Адмирала Юмашева	13879	3071	406.555801831	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
439079	улица Адмирала Юмашева	3071	130173	42.9618648444	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
439080	улица Адмирала Юмашева	130173	3073	6.07928988212	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
439081	улица Адмирала Юмашева	3073	3072	74.4382713137	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
439082		13969	60386	8.19401074541	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439083		60386	16357	531.122645843	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439084		16357	142330	159.816590185	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439085		142330	13985	3.24719697677	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439086	улица Адмирала Юмашева	3365	37209	34.172762613	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
439087		13863	13653	20.1896494808	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439088		34087	751	69.2129249923	LOCAL	1	37.2902423866	500	0	0.0	0	ANY
439089		116001	3376	33.6203000871	RAMP	1	37.2902423866	500	0	0.0	0	ANY
439090		3376	67938	107.975253777	RAMP	1	37.2902423866	500	0	0.0	0	ANY
439091	улица Адмирала Юмашева	37209	3062	29.1385920955	MINOR	1	37.2902423866	500	1	37.2902423866	500	ANY
439092	Краснознамённый переулок	3854	133876	4.19695083836	LOCAL	1	37.2902423866	500	0	37.2902423866	500	ANY
439093	Краснознамённый переулок	133876	3855	60.9970719644	LOCAL	1	37.2902423866	500	0	37.2902423866	500	ANY
439094	площадь Победы	23809	67669	130.947091999	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439095	площадь Победы	67669	67760	9.18576910884	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
