node	x	y	z
107	735050.532173	4777444.786276	0.000000
729	736056.817981	4777648.225754	0.000000
733	736922.510554	4777544.201324	0.000000
735	737953.527050	4777419.423612	0.000000
736	738949.270153	4776626.793002	0.000000
737	738986.939332	4776571.180822	0.000000
738	739054.698356	4776612.942520	0.000000
739	739158.680758	4776977.501617	0.000000
740	738894.395659	4777519.380110	0.000000
750	739197.693457	4779337.920535	0.000000
751	739162.494739	4779379.617827	0.000000
755	738791.575931	4779872.183154	0.000000
756	738787.115469	4780108.999023	0.000000
759	738553.330648	4780168.290228	0.000000
761	737979.348803	4780156.945761	0.000000
763	737409.531088	4780151.221176	0.000000
772	736321.418656	4781386.123093	0.000000
775	736222.909433	4783271.776934	0.000000
776	736132.085956	4783217.952232	0.000000
781	736617.221872	4783801.138245	0.000000
783	736585.754964	4783931.987991	0.000000
785	736505.407778	4784149.226709	0.000000
788	736370.630511	4784111.204631	0.000000
791	736058.771251	4783882.897999	0.000000
799	736046.677220	4783472.481354	0.000000
800	736048.676892	4783431.275312	0.000000
802	736058.710749	4783347.126739	0.000000
829	741775.151252	4775246.385590	0.000000
835	740684.261492	4775797.829661	0.000000
837	740564.476370	4775818.277490	0.000000
838	740491.146032	4775850.584791	0.000000
839	740441.531317	4775891.157122	0.000000
840	739615.106432	4776274.128717	0.000000
846	737090.391309	4776337.242133	0.000000
850	736889.838698	4776206.011087	0.000000
852	737324.237229	4776009.671161	0.000000
855	737067.062030	4775890.664292	0.000000
859	736482.266453	4776087.550998	0.000000
861	736381.975768	4776126.704674	0.000000
863	736586.672253	4776202.222253	0.000000
864	736686.121494	4776217.360521	0.000000
865	735643.316585	4776106.016022	0.000000
866	735565.579159	4775965.417720	0.000000
867	735637.309502	4775435.974057	0.000000
868	735750.519830	4775347.330287	0.000000
869	735918.632860	4775340.178969	0.000000
870	736164.014849	4775319.128306	0.000000
871	736679.694697	4775255.512207	0.000000
873	738178.348885	4774830.915882	0.000000
877	738569.107109	4776120.156325	0.000000
878	734564.871402	4778024.128849	0.000000
879	734696.814447	4778594.605508	0.000000
881	734978.225085	4778667.841418	0.000000
884	737832.859850	4779698.703987	0.000000
885	737999.064742	4779772.228824	0.000000
887	739103.797788	4777134.576601	0.000000
889	738911.866307	4777968.638389	0.000000
892	739130.191552	4777903.840775	0.000000
893	739204.661547	4777933.620066	0.000000
899	739148.283440	4777408.481066	0.000000
900	739173.997204	4777313.231326	0.000000
901	739166.357949	4777272.298487	0.000000
903	739103.960692	4777176.147729	0.000000
909	737875.808959	4776335.224256	0.000000
910	738158.251080	4776401.861631	0.000000
912	734259.052735	4777828.596704	0.000000
913	734394.422031	4777798.626824	0.000000
