['./prepVladGraph2012.py', 'links.txt']
3062 13682 159.632514
13682 13879 463.070636
13879 3071 406.555802
3071 130173 42.961865
130173 3073 6.079290
3073 3072 74.438271
13969 60386 8.194011
60386 16357 531.122646
16357 142330 159.816590
142330 13985 3.247197
3365 37209 34.172763
13863 13653 20.189649
34087 751 69.212925
116001 3376 33.620300
3376 67938 107.975254
37209 3062 29.138592
3854 133876 4.196951
133876 3855 60.997072
23809 67669 130.947092
67669 67760 9.185769
67760 67756 34.558112
67756 67654 11.107074
67654 67651 67.698872
67651 3590 86.764823
3590 121925 63.215060
121925 121923 13.608676
121923 2768 139.898289
2768 23043 34.153023
23043 23780 3.084086
23780 23781 3.660825
23781 23782 36.985028
23782 23806 4.499741
23806 23783 9.620065
23783 23784 17.844623
23784 23785 44.302752
23785 23786 13.266562
23786 23787 42.871368
23787 67685 204.401642
67685 23809 1.691573
137815 137816 18.004188
21191 21001 74.546544
82696 142826 145.238519
142826 142875 12.655809
120411 120408 47.555210
120413 120411 27.889397
3960 149767 4.026589
149767 34611 19.817250
34611 34617 71.777683
73664 119993 103.630296
13618 13626 109.701242
13624 37446 126.219761
37446 12936 4.297136
37446 63846 458.284832
63846 37450 26.204273
82704 80553 15.135724
11364 14140 35.019639
34628 34635 44.612160
61507 63882 8.067695
63882 61508 14.015357
6237 108447 7.856455
108447 108435 53.347487
108435 108402 130.810240
108402 108377 107.617205
108377 6240 62.357392
6240 6242 63.325721
6242 91609 184.704593
91609 141829 37.351325
141829 141794 116.163943
141794 6243 31.981197
6243 57005 106.133153
57005 81474 34.495588
81474 108212 184.772293
108212 6246 71.479849
6246 6247 225.792863
6247 6248 228.212595
37450 121743 7.548165
121743 37472 496.199623
37472 37475 7.628789
37475 37480 243.948085
37480 11098 14.347486
51957 51950 12.131951
51953 51952 16.473860
51956 51957 117.207983
37480 37482 6.497006
37482 11090 12.072722
37472 63543 209.722024
63543 37488 23.017712
37488 37490 76.046156
7700 11691 52.111323
11691 7708 76.849997
61717 61705 23.894405
134032 134027 78.163676
134027 134026 31.573805
134026 134012 112.546683
134012 133715 105.546626
61688 4437 22.391771
134005 134009 91.047908
84395 84394 6.679025
84394 84388 5.313482
61658 61664 23.732648
61664 61712 13.654325
61712 61675 7.397274
61675 61715 21.024383
61715 61716 17.874873
84398 84396 16.946675
84380 84398 36.576052
84398 84406 17.051253
84406 84407 7.050013
61640 61675 44.071338
84420 84414 17.116458
84414 84407 31.856741
84407 84381 53.343237
84381 84376 17.709883
84414 84412 17.488777
84412 84411 16.588989
84411 84401 17.619429
84401 84397 18.514707
61643 90325 143.842022
84417 84411 36.669690
84411 84404 12.114819
84404 84397 11.693422
84397 84378 41.823444
84378 84375 18.513088
84374 56212 4.695408
56212 84388 49.484194
84388 84393 20.617621
84379 84396 36.795281
84396 84405 16.497139
84405 84404 6.193935
84404 84401 13.789741
84401 84395 14.314032
61672 61658 58.817062
61658 62813 47.565104
61715 61669 44.177618
61690 61664 43.578277
61712 62814 46.675787
61704 61717 116.267190
61717 61478 58.788339
62812 61716 46.669222
61716 61669 71.639660
61669 61640 20.206585
61640 61690 21.485552
61690 61658 64.796558
143808 143810 36.461092
1577 37225 64.486214
889 11822 64.573829
11822 4942 252.462785
6614 40505 189.841547
1615 6834 56.855064
18140 6834 56.057537
6834 48171 531.692392
82110 80551 50.974487
5907 108080 71.634721
10001 14937 176.229161
62233 62230 17.584307
82475 89653 4.918267
89653 82223 85.243372
82223 82471 10.333548
59907 59893 21.023174
59893 59855 18.568706
59855 59907 21.583315
66678 66690 76.826695
66656 66653 284.079399
66685 104392 259.919844
11876 66663 81.666712
4705 23740 127.196624
23740 142973 8.003640
102784 47880 148.836966
66692 108769 58.832017
108769 66670 92.750015
66683 138627 33.567532
138627 136420 62.378769
66686 76470 6.671247
76470 137168 32.113085
137168 66694 22.112425
66694 135942 78.953538
135942 66700 27.697614
66700 135949 10.481407
135949 137178 33.652093
137178 66684 25.840308
66684 66658 46.698751
81420 81407 266.776907
81453 81455 58.629832
81455 71246 73.874566
71246 81457 93.314890
81457 81461 74.044545
81461 81466 92.094419
81466 81470 106.205046
81470 81474 207.896049
81491 81444 670.455048
81444 81432 106.345258
81432 81427 76.849472
81454 6246 171.069191
6246 81459 95.242578
16208 16224 24.626124
70962 81622 115.459496
81622 71361 302.812725
71361 71314 262.149928
71314 71436 258.139926
71436 71397 216.937894
71397 71342 174.587535
